    ,nome                                     ,qtde   ,unidade ,vl_unit ,vl_total ,conta_despesa                                       ,data_transacao
481 ,CHOC NESTLE KITKAT 41.5G                 , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
482 ,SANDUICHE NAT.FRANGO JACOMAR KG          , 0.166 ,KG      , 27.98  ,    4.64 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
483 ,MINI RISOLES DE CARNE KG                 , 0.082 ,KG      , 36.98  ,    3.03 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
484 ,CROISSANT FOLHADO FRANGO CREQUEIJAO KG   , 0.092 ,KG      , 36.98  ,    3.4  ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
485 ,CHOC NESTLE KITKAT 41.5G                 , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
486 ,CHOC NESTLE KITKAT 41.5G                 , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
487 ,CERV EISENBAHN 350ML                     , 1.0   ,Un      ,  3.59  ,    3.59 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
488 ,CERV EISENBAHN 350ML                     , 1.0   ,Un      ,  3.59  ,    3.59 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
489 ,CERV EISENBAHN 350ML                     , 1.0   ,Un      ,  3.59  ,    3.59 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
490 ,CERV EISENBAHN 350ML                     , 1.0   ,Un      ,  3.59  ,    3.59 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
491 ,REFRIG SCHWEP 220ML                      , 1.0   ,Un      ,  2.19  ,    2.19 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
492 ,REFRIG SCHWEP 220ML                      , 1.0   ,Un      ,  2.19  ,    2.19 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
493 ,ESPONJA SCOTCH B UN                      , 1.0   ,Un      ,  8.19  ,    8.19 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
494 ,RACAO FRISKIES 85G                       , 1.0   ,Un      ,  2.89  ,    2.89 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
495 ,RACAO FRISKIES 85G                       , 1.0   ,Un      ,  2.89  ,    2.89 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
496 ,RACAO FRISKIES 85G                       , 1.0   ,Un      ,  2.89  ,    2.89 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
497 ,RACAO FRISKIES 85G                       , 1.0   ,Un      ,  2.89  ,    2.89 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
498 ,MAC NISSIN LAMEN 85G                     , 1.0   ,Un      ,  1.79  ,    1.79 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
499 ,MOLHO POMAROL 320G                       , 1.0   ,Un      ,  2.89  ,    2.89 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
500 ,MOLHO POMAROL 320G                       , 1.0   ,Un      ,  2.89  ,    2.89 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
501 ,CHEDDAR FRIMESA 200G                     , 1.0   ,Un      , 16.49  ,   16.49 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
502 ,MAC NISSIN LAMEN 85G                     , 1.0   ,Un      ,  1.79  ,    1.79 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
503 ,APRESUNT FRIM 200G                       , 1.0   ,Un      ,  6.29  ,    6.29 ,IRMAOS MUFFATO S A                                  ,01/06/2022 18:23:41
504 ,SANDUICHE NAT.FRANGO JACOMAR KG          , 0.166 ,KG      , 27.98  ,    4.64 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
505 ,MINI RISOLES DE CARNE KG                 , 0.082 ,KG      , 36.98  ,    3.03 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
506 ,CROISSANT FOLHADO FRANGO CREQUEIJAO KG   , 0.092 ,KG      , 36.98  ,    3.4  ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
507 ,CHOC NESTLE KITKAT 41.5G                 , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
508 ,CHOC NESTLE KITKAT 41.5G                 , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
509 ,SANDUICHE NAT.FRANGO JACOMAR KG          , 0.166 ,KG      , 27.98  ,    4.64 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
510 ,MINI RISOLES DE CARNE KG                 , 0.082 ,KG      , 36.98  ,    3.03 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
511 ,CROISSANT FOLHADO FRANGO CREQUEIJAO KG   , 0.092 ,KG      , 36.98  ,    3.4  ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
512 ,CHOC NESTLE KITKAT 41.5G                 , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
513 ,CHOC NESTLE KITKAT 41.5G                 , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,01/06/2022 13:17:09
