    ,nome                                     ,qtde   ,unidade ,vl_unit ,vl_total ,conta_despesa                                       ,data_transacao
 90 ,Quarterao ALC                            , 1.0   ,UN      , 11.9   ,   11.9  ,ARCOS DOURADOS COMERCIO DE ALIMENTOS SA             ,21/03/2022 18:07:30
 91 ,SONHO GOIABADA KG                        , 0.052 ,KG      , 24.99  ,    1.3  ,SUPERMERCADO JACOMAR LTDA                           ,16/03/2022 12:39:32
 92 ,ESFIHA ABERTA SABORES KG                 , 0.16  ,KG      , 26.38  ,    4.22 ,SUPERMERCADO JACOMAR LTDA                           ,16/03/2022 12:39:32
 93 ,REFRIG.PEPSI COLA LATA 350ML             , 1.0   ,LT      ,  2.29  ,    2.29 ,SUPERMERCADO JACOMAR LTDA                           ,16/03/2022 12:39:32
 94 ,SANDUICHE SALAME JACOMAR KG              , 0.202 ,KG      , 30.98  ,    6.26 ,SUPERMERCADO JACOMAR LTDA                           ,16/03/2022 12:39:32
 95 ,LAYS SOUR CREAM 135G ELMA CHIPS G        , 1.0   ,PCE     , 10.99  ,   10.99 ,americanas sa - 1264                                ,06/03/2022 17:38:06
 96 ,FANTA UVA LATA 220ML                     , 1.0   ,PCE     ,  2.99  ,    2.99 ,americanas sa - 1264                                ,06/03/2022 17:38:06
 97 ,SPRITE LATA 350ML                        , 1.0   ,UN      ,  3.99  ,    3.99 ,americanas sa - 1264                                ,06/03/2022 17:38:06
 98 ,BALA GELATINA MINHOCAS 90G FINI          , 1.0   ,PCE     ,  4.99  ,    4.99 ,americanas sa - 1264                                ,06/03/2022 17:38:06
 99 ,AGUA MINERAL NATURAL S/G LEVEN MG 510ML  , 1.0   ,PCE     ,  1.99  ,    1.99 ,americanas sa - 1264                                ,06/03/2022 17:38:06
100 ,SANDUICHE SALAME JACOMAR KG              , 0.186 ,KG      , 29.98  ,    5.58 ,SUPERMERCADO JACOMAR LTDA                           ,23/02/2022 13:41:48
101 ,SONHO GOIABADA KG                        , 0.092 ,KG      , 24.99  ,    2.3  ,SUPERMERCADO JACOMAR LTDA                           ,23/02/2022 13:41:48
102 ,ESFIHA ABERTA SABORES KG                 , 0.142 ,KG      , 26.38  ,    3.75 ,SUPERMERCADO JACOMAR LTDA                           ,23/02/2022 13:41:48
103 ,PIMENTAO AMARELO KG                      , 0.265 ,KG      ,  9.98  ,    2.64 ,SUPERMERCADO JACOMAR LTDA                           ,23/02/2022 13:41:48
104 ,PIMENTAO VERDE KG                        , 0.27  ,KG      ,  6.98  ,    1.88 ,SUPERMERCADO JACOMAR LTDA                           ,23/02/2022 13:41:48
105 ,PIMENTAO VERMELHO KG                     , 0.26  ,KG      ,  9.98  ,    2.59 ,SUPERMERCADO JACOMAR LTDA                           ,23/02/2022 13:41:48
106 ,MACA FUJI KG                             , 0.795 ,KG      ,  9.99  ,    7.94 ,SUPERMERCADO JACOMAR LTDA                           ,23/02/2022 13:41:48
107 ,ABACATE KG                               , 1.17  ,KG      ,  5.98  ,    7.0  ,SUPERMERCADO JACOMAR LTDA                           ,23/02/2022 13:41:48
108 ,SANDUICHE SALAME JACOMAR KG              , 0.162 ,KG      , 30.98  ,    5.02 ,SUPERMERCADO JACOMAR LTDA                           ,11/03/2022 13:08:29
109 ,MINI COXINHA DE FRANGO KG                , 0.138 ,KG      , 31.99  ,    4.41 ,SUPERMERCADO JACOMAR LTDA                           ,11/03/2022 13:08:29
110 ,ESFIHA ABERTA SABORES KG                 , 0.162 ,KG      , 23.98  ,    3.88 ,SUPERMERCADO JACOMAR LTDA                           ,11/03/2022 13:08:29
111 ,SAB.NIVEA HID.TALCO E OLEO AMENDOAS 85G  , 1.0   ,UN      ,  2.28  ,    2.28 ,SUPERMERCADO JACOMAR LTDA                           ,11/03/2022 13:08:29
112 ,SAB.NIVEA HID.TOQUE DE BAUNILHA 85G      , 1.0   ,UN      ,  2.28  ,    2.28 ,SUPERMERCADO JACOMAR LTDA                           ,11/03/2022 13:08:29
113 ,SAB.NIVEA HID.TALCO E OLEO AMENDOAS 85G  , 1.0   ,UN      ,  2.28  ,    2.28 ,SUPERMERCADO JACOMAR LTDA                           ,11/03/2022 13:08:29
114 ,SAB.NIVEA HID.LAVANDA 85G                , 1.0   ,UN      ,  2.28  ,    2.28 ,SUPERMERCADO JACOMAR LTDA                           ,11/03/2022 13:08:29
115 ,SAB.NIVEA HID.LAVANDA 85G                , 1.0   ,UN      ,  2.28  ,    2.28 ,SUPERMERCADO JACOMAR LTDA                           ,11/03/2022 13:08:29
116 ,SAB.NIVEA HID.TOQUE DE BAUNILHA 85G      , 1.0   ,UN      ,  2.28  ,    2.28 ,SUPERMERCADO JACOMAR LTDA                           ,11/03/2022 13:08:29
117 ,GP SACHE GATO ATUM 85GR                  , 1.0   ,UN      ,  2.89  ,    2.89 ,Hiperzoo Pet Shop Ltda                              ,03/04/2022 17:07:55
118 ,FRISKIES FRANGO AO MOLHO 85G.            , 1.0   ,UN      ,  2.59  ,    2.59 ,Hiperzoo Pet Shop Ltda                              ,03/04/2022 17:07:55
119 ,FRISKIES PERU AO MOLHO 85G               , 1.0   ,UN      ,  2.59  ,    2.59 ,Hiperzoo Pet Shop Ltda                              ,03/04/2022 17:07:55
120 ,FANCY FEAST DEMI GLACE FRANGO 85G        , 2.0   ,UN      ,  4.6   ,    9.2  ,Hiperzoo Pet Shop Ltda                              ,03/04/2022 17:07:55
121 ,CROQUE MONSIEUR                          , 1.0   ,UND     , 34.0   ,   34.0  ,PRESTINARIA IND E COM DE ALIMENTOS LTDA             ,10/04/2022 12:39:27
122 ,TOAST DE SALMAO DEFUMADO                 , 1.0   ,UND     , 36.0   ,   36.0  ,PRESTINARIA IND E COM DE ALIMENTOS LTDA             ,10/04/2022 12:39:27
123 ,SUCO DE LARANJA                          , 1.0   ,UND     ,  9.0   ,    9.0  ,PRESTINARIA IND E COM DE ALIMENTOS LTDA             ,10/04/2022 12:39:27
124 ,SUCO DE LARANJA COM GENGIBRE             , 1.0   ,UND     , 10.0   ,   10.0  ,PRESTINARIA IND E COM DE ALIMENTOS LTDA             ,10/04/2022 12:39:27
125 ,TAXA DE SERVICO                          , 1.0   ,UND     ,  8.9   ,    8.9  ,PRESTINARIA IND E COM DE ALIMENTOS LTDA             ,10/04/2022 12:39:27
126 ,BANANA CATURRA KG                        , 1.16  ,KG      ,  2.97  ,    3.45 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
127 ,LARANJA PERA KG                          , 0.91  ,KG      ,  3.19  ,    2.9  ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
128 ,BATATA BRANCA KG                         , 0.64  ,KG      ,  5.79  ,    3.71 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
129 ,PIMENTAO VERDE KG                        , 0.335 ,KG      ,  7.99  ,    2.68 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
130 ,LIMAO TAHITI KG                          , 0.575 ,KG      ,  1.97  ,    1.13 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
131 ,TOMATE ITALIANO KG                       , 0.59  ,KG      , 11.99  ,    7.07 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
132 ,ALHO A GRANEL                            , 0.1   ,KG      , 21.9   ,    2.19 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
133 ,VAGEM MACARRAO KG                        , 0.155 ,KG      , 13.89  ,    2.15 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
134 ,CENOURA KG                               , 0.85  ,KG      , 10.59  ,    9.0  ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
135 ,MAMAO FORMOSA KG                         , 1.545 ,KG      ,  8.89  ,   13.74 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
136 ,CEREAL SUCRILHOS TRAD.240G               , 1.0   ,UN      ,  9.29  ,    9.29 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
137 ,LEITE PIRACANJUBA REST.LAC.UHT 1L        , 1.0   ,UN      ,  4.89  ,    4.89 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
138 ,REFRIG.COCA COLA 1.5L PET                , 1.0   ,UN      ,  5.99  ,    5.99 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
139 ,AMAC.COMFORT EXPLOSAO AZUL 1.8L          , 1.0   ,UN      , 16.9   ,   16.9  ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
140 ,CHA LEAO LIMAO 1.5L PET                  , 1.0   ,UN      ,  5.29  ,    5.29 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
141 ,BATATA MCCAIN TRAD.720G                  , 1.0   ,UN      , 13.79  ,   13.79 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
142 ,SUCO PURITY MRCJA 1L TP                  , 1.0   ,UN      ,  4.69  ,    4.69 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
143 ,CERV.PATAGONIA AMBER LAGER 473ML LA      , 6.0   ,UN      ,  4.99  ,   29.94 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
144 ,CHA LEAO REANIMA 10G                     , 1.0   ,UN      , 10.09  ,   10.09 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
145 ,PAO CHARLOTTE FERM.NAT.ATM.TRAD.400G     , 1.0   ,UN      ,  5.79  ,    5.79 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
146 ,CHA LEAO ERVA DOCE 20G C10               , 1.0   ,UN      ,  3.88  ,    3.88 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
147 ,CHA LEAO PTO 16G C10                     , 1.0   ,UN      ,  2.69  ,    2.69 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
148 ,QUEIJO TIROL MUSS.CRY KG                 , 0.464 ,KG      , 50.9   ,   23.62 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
149 ,PEITO DE PERU SEARA DEF.FAT.200G         , 1.0   ,UN      ,  6.9   ,    6.9  ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
150 ,CHOC.NESTLE PRESTIGIO CLASSIC 90G        , 1.0   ,UN      ,  3.79  ,    3.79 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
151 ,CHOC.NESTLE CRUNCH 90G                   , 1.0   ,UN      ,  3.79  ,    3.79 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
152 ,PAO DE MEL BARION 90G                    , 1.0   ,UN      ,  3.39  ,    3.39 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
153 ,PAO FRANCES KG                           , 0.292 ,KG      , 10.99  ,    3.21 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
154 ,RUCULA HIDROPONICA STRAPASSON 300G       , 1.0   ,UN      ,  4.99  ,    4.99 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
155 ,ALFACE HIDROPONICA STRAPASSONCTBA        , 1.0   ,UN      ,  4.99  ,    4.99 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
156 ,SABAO LIQ.OMO PURO CUIDADO 900ML REFIL   , 1.0   ,UN      , 15.9   ,   15.9  ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
157 ,RACAO FRISKIES AD.FGOMOLHO 85G SACHE     , 1.0   ,UN      ,  2.69  ,    2.69 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
158 ,RACAO FRISKIES AD.FGOMOLHO 85G SACHE     , 1.0   ,UN      ,  2.69  ,    2.69 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
159 ,ALGODAO TOPZ ZIG ZAG 25G                 , 1.0   ,UN      ,  2.59  ,    2.59 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
160 ,DESOD.REXONA CLINICAL WOMEN 48G          , 1.0   ,UN      , 25.5   ,   25.5  ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
161 ,SAB.NIVEA INT.SVE 250ML                  , 1.0   ,UN      , 15.99  ,   15.99 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
162 ,RACAO DREAMIES CNE 40G                   , 1.0   ,UN      ,  6.19  ,    6.19 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 13:25:43
163 ,FRALDA HUGGIES S.CARE MEGA RN C34        , 1.0   ,UN      , 33.45  ,   33.45 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 14:26:27
164 ,FRALDA HUGGIES S.CARE MEGA P C48         , 1.0   ,UN      , 45.9   ,   45.9  ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 14:26:27
165 ,TOALHINHA UMED.HUGGIES SUP.C192 LP-      , 1.0   ,UN      , 47.89  ,   47.89 ,CONDOR SUPER CENTER LTDA                            ,10/04/2022 14:26:27
166 ,PAO DOGUINHO RECHEADO                    , 0.174 ,KG      , 66.15  ,   11.51 ,TRIGALHOS ALIMENTOS EIRELI - EPP                    ,12/04/2022 18:07:42
167 ,PAO D AGUA                               , 0.244 ,KG      , 19.95  ,    4.87 ,TRIGALHOS ALIMENTOS EIRELI - EPP                    ,12/04/2022 18:07:42
168 ,BAGUETE PROVOLONE PADRAO                 , 0.076 ,KG      , 67.75  ,    5.15 ,TRIGALHOS ALIMENTOS EIRELI - EPP                    ,12/04/2022 18:07:42
169 ,AREIA PIPICAT FLORAL 4KG                 , 1.0   ,UN      , 18.98  ,   18.98 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
170 ,RACAO FANCY FEAST FILET SALMAO 85GR      , 1.0   ,UN      ,  5.65  ,    5.65 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
171 ,RACAO FANCY F.CASS ATUM SALMAO 85GR      , 1.0   ,UN      ,  5.65  ,    5.65 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
172 ,RACAO FRISKIES PEIXE BRAN. AO MOLHO 85GR , 1.0   ,UN      ,  3.19  ,    3.19 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
173 ,SNACK WHISKAS DREAMIES CARNE 40GR        , 1.0   ,UN      ,  5.49  ,    5.49 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
174 ,PRESUNTO FRIMESA COZ.200GR               , 1.0   ,UN      ,  8.99  ,    8.99 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
175 ,PEITO COPACOL SOSSO SPELE KG             , 0.886 ,KG      , 19.98  ,   17.7  ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
176 ,PAO INTEGRAL FESTVAL 500GR               , 1.0   ,UN      ,  7.99  ,    7.99 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
177 ,AMEIXA IMPORTADA KG                      , 0.41  ,KG      , 12.99  ,    5.32 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
178 ,MACA FUJI NACIONAL KG                    , 0.595 ,KG      ,  9.99  ,    5.94 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
179 ,BANANA CATURRA KG                        , 1.285 ,KG      ,  5.99  ,    7.69 ,SUPERMERCADOS FESTVAL                               ,14/04/2022 19:46:19
180 ,D. CHURROS                               , 1.0   ,UND     , 12.0   ,   12.0  ,DOFFEE LANCHONETE LTDA                              ,17/04/2022 17:30:10
181 ,D. BANOFFEE                              , 1.0   ,UND     , 14.0   ,   14.0  ,DOFFEE LANCHONETE LTDA                              ,17/04/2022 17:30:10
182 ,D. KINDER BUENO                          , 1.0   ,UND     , 17.0   ,   17.0  ,DOFFEE LANCHONETE LTDA                              ,17/04/2022 17:30:10
183 ,D. HOMER SIMPSON                         , 1.0   ,UND     , 12.0   ,   12.0  ,DOFFEE LANCHONETE LTDA                              ,17/04/2022 17:30:10
184 ,FEIJAO CALDO BOM CARIOCA 1KG             , 1.0   ,UN      ,  8.29  ,    8.29 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
185 ,FEIJAO CALDO BOM PTO 1KG                 , 1.0   ,UN      ,  8.19  ,    8.19 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
186 ,ARROZ BURITI BCO 1KG                     , 1.0   ,UN      ,  4.99  ,    4.99 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
187 ,FARINHA DE TRIGO ANACONDA 1KG            , 1.0   ,UN      ,  3.99  ,    3.99 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
188 ,DETERG.LIMPOL COCO 500ML                 , 1.0   ,UN      ,  2.19  ,    2.19 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
189 ,DETERG.LIMPOL COCO 500ML                 , 1.0   ,UN      ,  2.19  ,    2.19 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
190 ,PAPEL MANTEIGA COZINHA FACIL 30X7.5M     , 1.0   ,UN      ,  4.26  ,    4.26 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
191 ,FILME PVC COZINHA FACIL 28X30M           , 1.0   ,UN      ,  5.44  ,    5.44 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
192 ,FOLHA ALUMINIO COZINHA FACIL 30X7.5M     , 1.0   ,UN      ,  5.49  ,    5.49 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
193 ,CHIN.M.EMILIA SORT.MASC.3744             , 1.0   ,PC      , 49.9   ,   49.9  ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
194 ,TOALHA DE PAPEL SNOB C2 120F             , 1.0   ,UN      ,  5.09  ,    5.09 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
195 ,PAO DE FORMA VISCONTI TRAD.400G          , 1.0   ,UN      ,  4.99  ,    4.99 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
196 ,MIMOSAMEXIRICA KG                        , 0.555 ,KG      ,  4.98  ,    2.76 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
197 ,ALHO A GRANEL                            , 0.05  ,KG      , 21.9   ,    1.1  ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
198 ,MASSA NISSIN CNETOMATE 85G               , 1.0   ,UN      ,  2.09  ,    2.09 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
199 ,MASSA NISSIN CNETOMATE 85G               , 1.0   ,UN      ,  2.09  ,    2.09 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
200 ,MASSA NISSIN GALINHA CAIPIRA 85G         , 1.0   ,UN      ,  2.09  ,    2.09 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
201 ,MASSA NISSIN GALINHA CAIPIRA 85G         , 1.0   ,UN      ,  2.09  ,    2.09 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
202 ,ALFACE AMER.UN                           , 1.0   ,UN      ,  4.79  ,    4.79 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
203 ,POKAN KG                                 , 0.905 ,KG      ,  4.99  ,    4.52 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
204 ,BANANA CATURRA KG                        , 0.755 ,KG      ,  4.39  ,    3.31 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
205 ,IOG.FRIMESA NATURAL MRGO 165G            , 1.0   ,UN      ,  2.69  ,    2.69 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
206 ,IOG.FRIMESA NATURAL MRGO 165G            , 1.0   ,UN      ,  2.69  ,    2.69 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
207 ,IOG.NESTLE NATURAL MEL 170G              , 1.0   ,UN      ,  2.79  ,    2.79 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
208 ,IOG.NESTLE NATURAL MEL 170G              , 1.0   ,UN      ,  2.79  ,    2.79 ,CONDOR SUPER CENTER LTDA                            ,18/04/2022 15:31:42
209 ,BANANA CATURRA KG                        , 0.865 ,KG      ,  2.98  ,    2.58 ,SUPERMERCADO JACOMAR LTDA                           ,20/04/2022 13:12:19
210 ,SANDUICHE SALAME JACOMAR KG              , 0.178 ,KG      , 30.98  ,    5.51 ,SUPERMERCADO JACOMAR LTDA                           ,20/04/2022 13:12:19
211 ,MINI PASTEL DE CARNE KG                  , 0.14  ,KG      , 41.9   ,    5.87 ,SUPERMERCADO JACOMAR LTDA                           ,20/04/2022 13:12:19
212 ,CHOC NESTLE KITKAT 41.5G                 , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,20/04/2022 13:12:19
213 ,REFRIG.COCA COLA LATA 350ML              , 1.0   ,LT      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,20/04/2022 13:12:19
214 ,Rodeio Duplo                             , 1.0   ,UN      , 10.0   ,   10.0  ,BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S.A. ,23/04/2022 20:28:13
215 ,Rodeio Duplo                             , 1.0   ,UN      , 10.0   ,   10.0  ,BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S.A. ,23/04/2022 20:28:13
216 ,Chicken Duplo                            , 1.0   ,UN      ,  8.55  ,    8.55 ,BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S.A. ,23/04/2022 20:28:13
217 ,Chicken Duplo                            , 1.0   ,UN      ,  8.55  ,    8.55 ,BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S.A. ,23/04/2022 20:28:13
218 ,REFRI PEPSI LATA                         , 1.0   ,UN      , 12.9   ,   12.9  ,BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S.A. ,23/04/2022 20:28:13
219 ,REFRI GUARANA LATA                       , 1.0   ,UN      , 12.9   ,   12.9  ,BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S.A. ,23/04/2022 20:28:13
220 ,CERV.PATAGONIA AMBER LAGER 473ML LA      , 6.0   ,UN      ,  5.99  ,   35.94 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
221 ,HAMBURGUER SEARA GOURMET BOVINO 360G     , 1.0   ,UN      , 18.9   ,   18.9  ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
222 ,KETCHUP HEINZ 1.033KG                    , 1.0   ,UN      , 19.59  ,   19.59 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
223 ,QUEIJO PRATO TIROL FAT.150G              , 1.0   ,UN      ,  7.89  ,    7.89 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
224 ,QUEIJO FRIMESA MUSS.CRY KG               , 0.49  ,KG      , 59.85  ,   29.33 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
225 ,BACON BIZINELLI VACUO KG                 , 0.382 ,KG      , 44.35  ,   16.94 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
226 ,OLEO LIZA SOJA 900ML PET                 , 1.0   ,UN      ,  9.99  ,    9.99 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
227 ,DOCE DE LEITE TIROL 350G                 , 1.0   ,UN      ,  4.99  ,    4.99 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
228 ,CHA LEAO PTO 16G C10                     , 1.0   ,UN      ,  2.69  ,    2.69 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
229 ,PAO DE QUEIJO FORNO DE MINAS MINI KG     , 0.216 ,KG      , 44.9   ,    9.7  ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
230 ,PAO DE HAMBURGUER CONDOR CGERGELIM 280G  , 1.0   ,UN      ,  4.89  ,    4.89 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
231 ,PAO CHARLOTTE MULTIGRAOS 450G            , 1.0   ,UN      ,  6.69  ,    6.69 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
232 ,MIMOSAMEXIRICA KG                        , 0.595 ,KG      ,  3.98  ,    2.37 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
233 ,PAO PETROPOLIS KG                        , 0.45  ,KG      , 19.9   ,    8.96 ,CONDOR SUPER CENTER LTDA                            ,26/04/2022 18:14:27
234 ,PRES OLLA SENSITIVE LV8 PG6              , 1.0   ,UN      , 18.99  ,   18.99 ,FARMACIA IRMAOS PAVESI LTDA FILIAL 16               ,29/04/2022 20:59:19
235 ,PRES BLOWTEX ZERO C 6 UN                 , 1.0   ,UN      , 13.99  ,   13.99 ,FARMACIA IRMAOS PAVESI LTDA FILIAL 16               ,29/04/2022 20:59:19
236 ,PRES JONTEX SENSITIVE C 6                , 1.0   ,UN      , 17.99  ,   17.99 ,FARMACIA IRMAOS PAVESI LTDA FILIAL 16               ,29/04/2022 20:59:19
237 ,BISC NESTLE RECHEADO PRESTIGIO 140G      , 1.0   ,UN      ,  4.99  ,    4.99 ,POSTO METROPOLE BRASIL LTDA                         ,28/04/2022 17:12:08
238 ,ETANOL HIDRATADO COMBUSTIVEL Bico 09     ,16.67  ,L       ,  5.999 ,  100.0  ,POSTO METROPOLE BRASIL LTDA                         ,28/04/2022 17:12:08
239 ,PRES OLLA SENSITIVE LV8 PG6              , 1.0   ,UN      , 18.99  ,   18.99 ,FARMACIA IRMAOS PAVESI LTDA FILIAL 16               ,29/04/2022 20:59:19
240 ,PRES BLOWTEX ZERO C 6 UN                 , 1.0   ,UN      , 13.99  ,   13.99 ,FARMACIA IRMAOS PAVESI LTDA FILIAL 16               ,29/04/2022 20:59:19
241 ,PRES JONTEX SENSITIVE C 6                , 1.0   ,UN      , 17.99  ,   17.99 ,FARMACIA IRMAOS PAVESI LTDA FILIAL 16               ,29/04/2022 20:59:19
242 ,ABSORV.S.LIVRE ADAP.MAX SUAVE CABAS 8UN  , 1.0   ,UN      ,  6.39  ,    6.39 ,SUPERMERCADOS FESTVAL                               ,30/04/2022 19:00:14
243 ,AGUA COCO FESTVAL 100 NATURAL 1L         , 1.0   ,UN      , 10.98  ,   10.98 ,SUPERMERCADOS FESTVAL                               ,30/04/2022 19:00:14
244 ,VHO ITA.PRIM.MAND.LIRICA TTO 750ML       , 1.0   ,UN      , 79.0   ,   79.0  ,SUPERMERCADOS FESTVAL                               ,30/04/2022 19:00:14
245 ,ABSORV.S.LIVRE ADAP.MAX SUAVE CABAS 8UN  , 1.0   ,UN      ,  6.39  ,    6.39 ,SUPERMERCADOS FESTVAL                               ,30/04/2022 19:00:14
246 ,AGUA COCO FESTVAL 100 NATURAL 1L         , 1.0   ,UN      , 10.98  ,   10.98 ,SUPERMERCADOS FESTVAL                               ,30/04/2022 19:00:14
247 ,VHO ITA.PRIM.MAND.LIRICA TTO 750ML       , 1.0   ,UN      , 79.0   ,   79.0  ,SUPERMERCADOS FESTVAL                               ,30/04/2022 19:00:14
248 ,ETANOL HIDRATADO COMBUSTIVEL Bico 01     , 8.836 ,L       ,  5.659 ,   50.0  ,POSTO METROPOLE BRASIL LTDA                         ,02/05/2022 17:10:45
249 ,MINI PASTEL DE CARNE                     , 0.092 ,KG      , 73.4   ,    6.75 ,CONFEITARIA REQUINTE EIRELI - EPP                   ,02/05/2022 19:37:36
250 ,PAO DOGUINHO RECHEADO                    , 0.258 ,KG      , 70.15  ,   18.1  ,CONFEITARIA REQUINTE EIRELI - EPP                   ,02/05/2022 19:37:36
